Event Type	Name	Date	Time
sync summary event # 7	neg	07/23/2015	09:29:02.294 AM
sync summary event # 5	FixationOnset	07/23/2015	09:29:05.977 AM
sync summary event # 8	neut	07/23/2015	09:29:11.528 AM
sync summary event # 5	FixationOnset	07/23/2015	09:29:15.257 AM
sync summary event # 7	neg	07/23/2015	09:29:23.808 AM
sync summary event # 5	FixationOnset	07/23/2015	09:29:27.659 AM
sync summary event # 8	neut	07/23/2015	09:29:33.210 AM
sync summary event # 5	FixationOnset	07/23/2015	09:29:36.890 AM
sync summary event # 9	pos	07/23/2015	09:29:47.441 AM
sync summary event # 5	FixationOnset	07/23/2015	09:29:51.144 AM
sync summary event # 9	pos	07/23/2015	09:30:00.695 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:04.381 AM
sync summary event # 8	neut	07/23/2015	09:30:11.932 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:15.614 AM
sync summary event # 8	neut	07/23/2015	09:30:22.165 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:25.829 AM
sync summary event # 7	neg	07/23/2015	09:30:31.380 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:35.059 AM
sync summary event # 8	neut	07/23/2015	09:30:41.610 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:45.291 AM
sync summary event # 8	neut	07/23/2015	09:30:52.842 AM
sync summary event # 5	FixationOnset	07/23/2015	09:30:56.507 AM
sync summary event # 9	pos	07/23/2015	09:31:06.058 AM
sync summary event # 5	FixationOnset	07/23/2015	09:31:09.744 AM
sync summary event # 8	neut	07/23/2015	09:31:18.295 AM
sync summary event # 5	FixationOnset	07/23/2015	09:31:21.979 AM
sync summary event # 7	neg	07/23/2015	09:31:32.530 AM
sync summary event # 5	FixationOnset	07/23/2015	09:31:36.217 AM
sync summary event # 7	neg	07/23/2015	09:31:45.768 AM
sync summary event # 5	FixationOnset	07/23/2015	09:31:49.453 AM
sync summary event # 9	pos	07/23/2015	09:32:00.004 AM
sync summary event # 5	FixationOnset	07/23/2015	09:32:03.691 AM
sync summary event # 7	neg	07/23/2015	09:32:09.242 AM
sync summary event # 5	FixationOnset	07/23/2015	09:32:12.938 AM
sync summary event # 7	neg	07/23/2015	09:32:20.489 AM
sync summary event # 5	FixationOnset	07/23/2015	09:32:24.188 AM
sync summary event # 8	neut	07/23/2015	09:32:32.739 AM
sync summary event # 5	FixationOnset	07/23/2015	09:32:36.457 AM
sync summary event # 7	neg	07/23/2015	09:32:43.008 AM
sync summary event # 5	FixationOnset	07/23/2015	09:32:46.705 AM
sync summary event # 7	neg	07/23/2015	09:32:57.256 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:00.943 AM
sync summary event # 9	pos	07/23/2015	09:33:08.494 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:12.176 AM
sync summary event # 7	neg	07/23/2015	09:33:17.727 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:21.424 AM
sync summary event # 7	neg	07/23/2015	09:33:27.990 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:31.671 AM
sync summary event # 9	pos	07/23/2015	09:33:40.222 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:43.907 AM
sync summary event # 7	neg	07/23/2015	09:33:53.458 AM
sync summary event # 5	FixationOnset	07/23/2015	09:33:57.143 AM
sync summary event # 8	neut	07/23/2015	09:34:02.694 AM
sync summary event # 5	FixationOnset	07/23/2015	09:34:06.407 AM
sync summary event # 7	neg	07/23/2015	09:34:14.958 AM
sync summary event # 5	FixationOnset	07/23/2015	09:34:18.641 AM
sync summary event # 7	neg	07/23/2015	09:34:26.192 AM
sync summary event # 5	FixationOnset	07/23/2015	09:34:29.858 AM
sync summary event # 9	pos	07/23/2015	09:34:40.409 AM
sync summary event # 5	FixationOnset	07/23/2015	09:34:44.112 AM
sync summary event # 9	pos	07/23/2015	09:34:50.663 AM
sync summary event # 5	FixationOnset	07/23/2015	09:34:54.377 AM
sync summary event # 8	neut	07/23/2015	09:35:03.928 AM
sync summary event # 5	FixationOnset	07/23/2015	09:35:07.615 AM
sync summary event # 8	neut	07/23/2015	09:35:13.166 AM
sync summary event # 5	FixationOnset	07/23/2015	09:35:16.828 AM
sync summary event # 9	pos	07/23/2015	09:35:27.379 AM
sync summary event # 64		07/23/2015	09:35:53.804 AM
sync summary event # 1	StartRecording	07/23/2015	09:35:54.854 AM
sync summary event # 2	StartBaseline3min	07/23/2015	09:35:55.195 AM
sync summary event # 3	StartBaseline2min	07/23/2015	09:35:55.246 AM
sync summary event # 4	EndBaseline2min	07/23/2015	09:35:55.296 AM
sync summary event # 5	FixationOnset	07/23/2015	09:35:57.552 AM
sync summary event # 8	neut	07/23/2015	09:36:06.103 AM
sync summary event # 5	FixationOnset	07/23/2015	09:36:09.803 AM
sync summary event # 8	neut	07/23/2015	09:36:16.354 AM
sync summary event # 5	FixationOnset	07/23/2015	09:36:20.019 AM
sync summary event # 9	pos	07/23/2015	09:36:29.570 AM
sync summary event # 5	FixationOnset	07/23/2015	09:36:33.272 AM
sync summary event # 7	neg	07/23/2015	09:36:38.823 AM
sync summary event # 5	FixationOnset	07/23/2015	09:36:42.486 AM
sync summary event # 9	pos	07/23/2015	09:36:50.037 AM
sync summary event # 5	FixationOnset	07/23/2015	09:36:53.719 AM
sync summary event # 8	neut	07/23/2015	09:37:04.270 AM
sync summary event # 5	FixationOnset	07/23/2015	09:37:07.957 AM
sync summary event # 8	neut	07/23/2015	09:37:16.508 AM
sync summary event # 5	FixationOnset	07/23/2015	09:37:20.191 AM
sync summary event # 9	pos	07/23/2015	09:37:26.742 AM
sync summary event # 5	FixationOnset	07/23/2015	09:37:30.440 AM
sync summary event # 7	neg	07/23/2015	09:37:37.991 AM
sync summary event # 5	FixationOnset	07/23/2015	09:37:41.691 AM
sync summary event # 8	neut	07/23/2015	09:37:52.242 AM
sync summary event # 5	FixationOnset	07/23/2015	09:37:55.945 AM
sync summary event # 9	pos	07/23/2015	09:38:05.496 AM
sync summary event # 5	FixationOnset	07/23/2015	09:38:09.164 AM
sync summary event # 8	neut	07/23/2015	09:38:14.716 AM
sync summary event # 5	FixationOnset	07/23/2015	09:38:18.378 AM
sync summary event # 9	pos	07/23/2015	09:38:26.929 AM
sync summary event # 5	FixationOnset	07/23/2015	09:38:30.613 AM
sync summary event # 8	neut	07/23/2015	09:38:36.164 AM
sync summary event # 5	FixationOnset	07/23/2015	09:38:39.826 AM
sync summary event # 9	pos	07/23/2015	09:38:46.377 AM
sync summary event # 5	FixationOnset	07/23/2015	09:38:50.058 AM
sync summary event # 7	neg	07/23/2015	09:39:00.609 AM
sync summary event # 5	FixationOnset	07/23/2015	09:39:04.297 AM
sync summary event # 9	pos	07/23/2015	09:39:13.848 AM
sync summary event # 5	FixationOnset	07/23/2015	09:39:17.533 AM
sync summary event # 9	pos	07/23/2015	09:39:25.084 AM
sync summary event # 5	FixationOnset	07/23/2015	09:39:28.766 AM
sync summary event # 8	neut	07/23/2015	09:39:38.317 AM
sync summary event # 5	FixationOnset	07/23/2015	09:39:41.986 AM
sync summary event # 8	neut	07/23/2015	09:39:50.537 AM
sync summary event # 5	FixationOnset	07/23/2015	09:39:54.220 AM
sync summary event # 7	neg	07/23/2015	09:39:59.771 AM
sync summary event # 5	FixationOnset	07/23/2015	09:40:03.450 AM
sync summary event # 8	neut	07/23/2015	09:40:10.002 AM
sync summary event # 5	FixationOnset	07/23/2015	09:40:13.666 AM
sync summary event # 8	neut	07/23/2015	09:40:24.217 AM
sync summary event # 5	FixationOnset	07/23/2015	09:40:27.921 AM
sync summary event # 7	neg	07/23/2015	09:40:35.472 AM
sync summary event # 5	FixationOnset	07/23/2015	09:40:39.171 AM
sync summary event # 8	neut	07/23/2015	09:40:44.722 AM
sync summary event # 5	FixationOnset	07/23/2015	09:40:48.401 AM
sync summary event # 8	neut	07/23/2015	09:40:56.952 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:00.619 AM
sync summary event # 9	pos	07/23/2015	09:41:07.170 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:10.834 AM
sync summary event # 8	neut	07/23/2015	09:41:21.385 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:25.072 AM
sync summary event # 7	neg	07/23/2015	09:41:34.623 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:38.341 AM
sync summary event # 7	neg	07/23/2015	09:41:45.892 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:49.575 AM
sync summary event # 9	pos	07/23/2015	09:41:55.126 AM
sync summary event # 5	FixationOnset	07/23/2015	09:41:59.056 AM
sync summary event # 7	neg	07/23/2015	09:42:07.607 AM
sync summary event # 5	FixationOnset	07/23/2015	09:42:11.307 AM
sync summary event # 9	pos	07/23/2015	09:42:20.858 AM
sync summary event # 5	FixationOnset	07/23/2015	09:42:24.544 AM
sync summary event # 9	pos	07/23/2015	09:42:35.095 AM
sync summary event # 5	FixationOnset	07/23/2015	09:42:38.781 AM
sync summary event # 7	neg	07/23/2015	09:42:45.332 AM
sync summary event # 5	FixationOnset	07/23/2015	09:42:49.046 AM
sync summary event # 9	pos	07/23/2015	09:42:56.597 AM
sync summary event # 5	FixationOnset	07/23/2015	09:43:00.281 AM
sync summary event # 8	neut	07/23/2015	09:43:09.832 AM
sync summary event # 5	FixationOnset	07/23/2015	09:43:13.500 AM
sync summary event # 9	pos	07/23/2015	09:43:22.051 AM
sync summary event # 5	FixationOnset	07/23/2015	09:43:25.735 AM
sync summary event # 7	neg	07/23/2015	09:43:31.286 AM
sync summary event # 5	FixationOnset	07/23/2015	09:43:34.966 AM
sync summary event # 8	neut	07/23/2015	09:43:42.533 AM
sync summary event # 5	FixationOnset	07/23/2015	09:43:46.216 AM
sync summary event # 7	neg	07/23/2015	09:43:56.783 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:00.454 AM
sync summary event # 8	neut	07/23/2015	09:44:07.020 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:10.703 AM
sync summary event # 9	pos	07/23/2015	09:44:17.269 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:20.934 AM
sync summary event # 7	neg	07/23/2015	09:44:28.500 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:32.167 AM
sync summary event # 7	neg	07/23/2015	09:44:42.718 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:46.421 AM
sync summary event # 8	neut	07/23/2015	09:44:55.972 AM
sync summary event # 5	FixationOnset	07/23/2015	09:44:59.641 AM
sync summary event # 7	neg	07/23/2015	09:45:05.192 AM
sync summary event # 5	FixationOnset	07/23/2015	09:45:08.888 AM
sync summary event # 7	neg	07/23/2015	09:45:17.439 AM
sync summary event # 5	FixationOnset	07/23/2015	09:45:21.122 AM
sync summary event # 8	neut	07/23/2015	09:45:27.673 AM
sync summary event # 5	FixationOnset	07/23/2015	09:45:31.337 AM
sync summary event # 7	neg	07/23/2015	09:45:36.888 AM
